"Time","Weight","Concentration"
20,36,8.69676983653974
21,36,7.71509281853982
22,36,6.84422588126898
23,36,6.07166096579742
24,36,5.38630190223249
25,36,4.77830503801575
26,36,4.23893785583451
27,36,3.76045355051015
28,36,3.33597976344016
29,36,2.95941987651265
30,36,2.6253654478007
31,36,2.32901853137104
32,36,2.06612276550441
33,36,1.83290223956382
34,36,1.62600726146971
35,36,1.44246624685308
36,36,1.27964303888145
37,36,1.13519904575247
38,36,1.00705965204465
39,36,0.893384421499449
40,36,0.792540663264023
41,36,0.703079981932911
42,36,0.623717474582256
43,36,0.553313276008459
44,36,0.490856187109822
45,36,0.435449151269432
46,36,0.386296370139967
47,36,0.342691873777432
48,36,0.30400938095933
49,36,0.269693304053367
50,36,0.23925076924173
51,36,0.212244537489269
52,36,0.188286724581099
53,36,0.16703323003199
54,36,0.148178794851268
55,36,0.131452617179043
56,36,0.116614462822189
57,36,0.103451214826598
58,36,0.0917738125280162
59,36,0.0814145361177724
1,37,82.3714170596258
2,37,73.0737732677679
3,37,64.8253264106096
4,37,57.5079506127285
5,37,51.0165481115842
6,37,45.2578844053873
7,37,40.1492491489502
8,37,35.6172682042689
9,37,31.5968497848731
10,37,28.030249557662
11,37,24.8662412745007
12,37,22.0593810215529
13,37,19.5693545189338
14,37,17.3603980961002
15,37,15.4007850265824
16,37,13.6623698444039
17,37,12.1201840973101
18,37,10.7520777307064
19,37,9.53840095158366
20,37,8.46172200311975
21,37,7.50657679641713
22,37,6.65924680339685
23,37,5.90756202077587
24,37,5.24072617514513
25,37,4.64916165860992
26,37,4.12437196783898
27,37,3.65881967076663
28,37,3.24581814821205
29,37,2.87943555552582
30,37,2.55440962488716
31,37,2.26607208457723
32,37,2.01028160967997
33,37,1.78336434119723
34,37,1.58206111926783
35,37,1.40348067261381
36,37,1.24505809188466
37,37,1.10451799046186
38,37,0.979841823611014
39,37,0.869238896594059
40,37,0.771120645337968
41,37,0.684077820259049
42,37,0.606860245539493
43,37,0.538358863143366
44,37,0.477589803674422
45,37,0.423680255289177
46,37,0.375855927703752
47,37,0.333429931242907
48,37,0.295792911203673
49,37,0.262404295835709
50,37,0.232784532235197
51,37,0.206508198638208
52,37,0.183197894187015
53,37,0.162518818409504
54,37,0.144173962557991
55,37,0.127899843741771
56,37,0.113462720583751
57,37,0.100655236047501
58,37,0.0892934392164483
59,37,0.0792141432497245
1,38,80.2037481896356
2,38,71.1507792344056
3,38,63.1193967682252
4,38,55.9945834913409
5,38,49.6740073718057
6,38,44.0668874473508
7,38,39.0926899608199
8,38,34.6799716725776
9,38,30.7653537379028
10,38,27.2926114114077
11,38,24.2118665041191
12,38,21.4788709946699
13,38,19.0543715052777
14,38,16.9035455146239
15,38,14.9955012100934
16,38,13.3028337958669
17,38,11.801231884223
18,38,10.4691283167404
19,38,9.28739040022619
20,38,8.23904510830081
21,38,7.30903530177457
22,38,6.48400346646535
23,38,5.75209986233439
24,38,5.10281232843078
25,38,4.52681529917282
26,38,4.01583586342217
27,38,3.56253494258856
28,38,3.16040188115384
29,38,2.80366093564356
30,38,2.48718831896908
31,38,2.2064386086673
32,38,1.95737946205681
33,38,1.7364337006394
34,38,1.54042793191867
35,38,1.36654697070292
36,38,1.21229340525611
37,38,1.07545172755497
38,38,0.954056512463355
39,38,0.846364188788951
40,38,0.750827996776442
41,38,0.666075772357495
42,38,0.590890239077926
43,38,0.524191524639593
44,38,0.465021650946147
45,38,0.41253077488683
46,38,0.365964982237863
47,38,0.324655459368094
48,38,0.288008887224629
49,38,0.255498919629506
50,38,0.226658623492165
51,38,0.201073772358255
52,38,0.178376896971567
53,38,0.158242007398728
54,38,0.140379910911728
55,38,0.124534058380146
56,38,0.110476859515758
57,38,0.0980064140462505
58,38,0.0869436118686469
59,38,0.0771295605326264
1,39,78.1472418257989
2,39,69.3264002796772
3,39,61.500950697245
4,39,54.5588249402809
5,39,48.4003148750927
