"IC50_SP_R","IC50_SP","Age","Number_round","Coverage_reduction","Coverage","eir","Access","half_life_long","Dosage_long","seed","seasonality","scenario_name","Indicator","Indicator_1","Input_EIR","Simulated_EIR","time_eir","time_eir_2","Liste","time_0.1"
15,2.39,5,4,0.1,0.75,"150","0.4",15,30,2,"sesonality2","scenario_975_2.txt",0.0245461302427456,0.0244080673705086,163.617780154583,151.704740996306,8.2236842105263,8.30946271929825,2945,31.2005721790752
21,2.39,5,4,0.1,0.75,"150","0.4",15,30,2,"sesonality2","scenario_976_2.txt",0.0144774989189768,0.0142774654264711,163.617780154583,151.704740996306,8.2236842105263,8.30946271929825,2948,52.8995590082138
25,2.39,5,4,0.1,0.75,"150","0.4",15,30,2,"sesonality2","scenario_977_2.txt",0.0133042043215399,0.0135194044822193,163.617780154583,151.704740996306,8.2236842105263,8.30946271929825,2951,57.5647584663012
5,2.39,5,4,0.1,0.95,"150","0.4",15,30,2,"sesonality2","scenario_997_2.txt",0.0396290065503298,0.039366411458909,163.617780154583,151.704740996306,8.2236842105263,8.30946271929825,3017,19.3255742452971
10,2.39,5,4,0.1,0.95,"150","0.4",15,30,2,"sesonality2","scenario_998_2.txt",0.0324663834224105,0.0322061292744986,163.617780154583,151.704740996306,8.2236842105263,8.30946271929825,3020,23.5891167301105
15,2.39,5,4,0.1,0.95,"150","0.4",15,30,2,"sesonality2","scenario_999_2.txt",0.0299819661807087,0.0300445392219919,163.617780154583,151.704740996306,8.2236842105263,8.30946271929825,3023,25.5437986868432
21,2.39,5,4,0.1,0.95,"150","0.4",15,30,2,"sesonality2","scenario_1000_2.txt",0.0180763399930146,0.0180768473047059,163.617780154583,151.704740996306,8.2236842105263,8.30946271929825,11,42.3677198288879
25,2.39,5,4,0.1,0.95,"150","0.4",15,30,2,"sesonality2","scenario_1001_2.txt",0.0155350515834145,0.0156680654155371,163.617780154583,151.704740996306,8.2236842105263,8.30946271929825,14,49.298407813039
5,2.39,5,4,0.1,0.75,"25","0.05",15,30,3,"sesonality2","scenario_37_3.txt",0.0336681836000646,0.0342297592959904,30.1917874470588,25.7130896095759,8.38815789473686,8.30946271929825,930,22.7470931444693
10,2.39,5,4,0.1,0.75,"25","0.05",15,30,3,"sesonality2","scenario_38_3.txt",0.0220953524381858,0.0229240274769459,30.1917874470588,25.7130896095759,8.38815789473686,8.30946271929825,963,34.6612850144991
15,2.39,5,4,0.1,0.75,"25","0.05",15,30,3,"sesonality2","scenario_39_3.txt",0.0176117838273213,0.0182119718545872,30.1917874470588,25.7130896095759,8.38815789473686,8.30946271929825,996,43.4852775769193
21,2.39,5,4,0.1,0.75,"25","0.05",15,30,3,"sesonality2","scenario_40_3.txt",0.0108882049478621,0.0113521126866661,30.1917874470588,25.7130896095759,8.38815789473686,8.30946271929825,1032,70.33788508051
25,2.39,5,4,0.1,0.75,"25","0.05",15,30,3,"sesonality2","scenario_41_3.txt",0.00951850041382154,0.0103620492396405,30.1917874470588,25.7130896095759,8.38815789473686,8.30946271929825,1065,80.4594500246795
5,2.39,5,4,0.1,0.95,"25","0.05",15,30,3,"sesonality2","scenario_61_3.txt",0.0414432206978746,0.0419701528205286,30.1917874470588,25.7130896095759,8.38815789473686,8.30946271929825,1731,18.4795799037656
10,2.39,5,4,0.1,0.95,"25","0.05",15,30,3,"sesonality2","scenario_62_3.txt",0.0272650192954337,0.0277619384054208,30.1917874470588,25.7130896095759,8.38815789473686,8.30946271929825,1764,28.089226714174
15,2.39,5,4,0.1,0.95,"25","0.05",15,30,3,"sesonality2","scenario_63_3.txt",0.0209156196793991,0.0212451006079199,30.1917874470588,25.7130896095759,8.38815789473686,8.30946271929825,1797,36.616333634623
21,2.39,5,4,0.1,0.95,"25","0.05",15,30,3,"sesonality2","scenario_64_3.txt",0.0103231899253517,0.0111084439072411,30.1917874470588,25.7130896095759,8.38815789473686,8.30946271929825,1830,74.1876603931292
25,2.39,5,4,0.1,0.95,"25","0.05",15,30,3,"sesonality2","scenario_65_3.txt",0.00663794493234799,0.00721062414906639,30.1917874470588,25.7130896095759,8.38815789473686,8.30946271929825,1863,115.375062035181
5,2.39,5,4,0.1,0.75,"50","0.05",15,30,3,"sesonality2","scenario_73_3.txt",0.0338630907084519,0.0342024396964539,60.3384512273598,48.5450733495212,8.2236842105263,8.30946271929825,2130,22.6161668156479
10,2.39,5,4,0.1,0.75,"50","0.05",15,30,3,"sesonality2","scenario_74_3.txt",0.0226563973116452,0.0228394786424916,60.3384512273598,48.5450733495212,8.2236842105263,8.30946271929825,2163,33.8029607188307
15,2.39,5,4,0.1,0.75,"50","0.05",15,30,3,"sesonality2","scenario_75_3.txt",0.0190523631758814,0.0191807005540341,60.3384512273598,48.5450733495212,8.2236842105263,8.30946271929825,2196,40.1972868817275
21,2.39,5,4,0.1,0.75,"50","0.05",15,30,3,"sesonality2","scenario_76_3.txt",0.00663432025502365,0.00593000584628181,60.3384512273598,48.5450733495212,8.2236842105263,8.30946271929825,2229,115.438097486452
25,2.39,5,4,0.1,0.75,"50","0.05",15,30,3,"sesonality2","scenario_77_3.txt",0.00381204585576209,0.0034635512310886,60.3384512273598,48.5450733495212,8.2236842105263,8.30946271929825,2262,200
5,2.39,5,4,0.1,0.95,"50","0.05",15,30,3,"sesonality2","scenario_97_3.txt",0.0432804016876233,0.0432231798549364,60.3384512273598,48.5450733495212,8.2236842105263,8.30946271929825,2928,17.6951525053607
10,2.39,5,4,0.1,0.95,"50","0.05",15,30,3,"sesonality2","scenario_98_3.txt",0.0296767671534121,0.0299126838542545,60.3384512273598,48.5450733495212,8.2236842105263,8.30946271929825,2961,25.8064938271995
15,2.39,5,4,0.1,0.95,"50","0.05",15,30,3,"sesonality2","scenario_99_3.txt",0.0289571422518626,0.0291711559070152,60.3384512273598,48.5450733495212,8.2236842105263,8.30946271929825,2994,26.4478207723175
21,2.39,5,4,0.1,0.95,"50","0.05",15,30,3,"sesonality2","scenario_100_3.txt",0.0118208381357655,0.0118095439353226,60.3384512273598,48.5450733495212,8.2236842105263,8.30946271929825,9,64.7884100568618
25,2.39,5,4,0.1,0.95,"50","0.05",15,30,3,"sesonality2","scenario_101_3.txt",0.00688866987913516,0.00684475560169953,60.3384512273598,48.5450733495212,8.2236842105263,8.30946271929825,39,111.175788910342
5,2.39,5,4,0.1,0.75,"100","0.05",15,30,3,"sesonality2","scenario_145_3.txt",0.0365935852067564,0.036711591760121,114.523966953488,100.930157610123,8.2236842105263,8.30946271929825,183,20.9286218890179
10,2.39,5,4,0.1,0.75,"100","0.05",15,30,3,"sesonality2","scenario_146_3.txt",0.030632882301875,0.0306721448762106,114.523966953488,100.930157610123,8.2236842105263,8.30946271929825,186,25.0010201720028
15,2.39,5,4,0.1,0.75,"100","0.05",15,30,3,"sesonality2","scenario_147_3.txt",0.0252516078682287,0.0253307646272725,114.523966953488,100.930157610123,8.2236842105263,8.30946271929825,189,30.3288928115882
21,2.39,5,4,0.1,0.75,"100","0.05",15,30,3,"sesonality2","scenario_148_3.txt",0.0124115019476147,0.0126065907979828,114.523966953488,100.930157610123,8.2236842105263,8.30946271929825,192,61.705127355916
25,2.39,5,4,0.1,0.75,"100","0.05",15,30,3,"sesonality2","scenario_149_3.txt",0.00891058801963574,0.00902652279424298,114.523966953488,100.930157610123,8.2236842105263,8.30946271929825,195,85.9486833717482
5,2.39,5,4,0.1,0.95,"100","0.05",15,30,3,"sesonality2","scenario_169_3.txt",0.0458101663271814,0.0457071676634047,114.523966953488,100.930157610123,8.2236842105263,8.30946271929825,261,16.7179770290715
10,2.39,5,4,0.1,0.95,"100","0.05",15,30,3,"sesonality2","scenario_170_3.txt",0.0358340983856257,0.0356148509997125,114.523966953488,100.930157610123,8.2236842105263,8.30946271929825,267,21.3721941630594
