"Test_True","Test_predicted","iteration","seasonality","IC50_SP_R","IC50_SP","Age","Coverage_reduction","Number_round"
0.0159910807862522,0.0160829196870209,3,"sesonality2",24.2,2.39,"5","0","4"
0.0124024331847352,0.0104795612610427,3,"sesonality2",24.2,2.39,"5","0","4"
0.00498897049162882,0.00915602584469471,3,"sesonality2",24.2,2.39,"5","0","4"
0.0133612599640332,0.0143258949166188,3,"sesonality3",24.2,2.39,"5","0","3"
0.00857538921827837,0.00874092616876317,3,"sesonality3",24.2,2.39,"5","0","3"
0.0122053575854934,0.013748746534975,3,"sesonality3",24.2,2.39,"5","0","3"
0.0202088495826402,0.0192876453921346,3,"sesonality3",24.2,2.39,"5","0","3"
0.0103296389572763,0.0110898109942135,3,"sesonality3",24.2,2.39,"5","0","3"
0.0149745859207705,0.0139613540312615,3,"sesonality3",24.2,2.39,"5","0","3"
0.0171782238638922,0.0164331171649473,3,"sesonality3",24.2,2.39,"5","0","3"
0.0132129774349465,0.0133065351686211,3,"sesonality3",24.2,2.39,"5","0","3"
0.0167756465900726,0.0167483486213966,3,"sesonality3",24.2,2.39,"5","0","3"
0.0166905372979053,0.0148911668637986,3,"sesonality3",24.2,2.39,"5","0","3"
0.0140197750877348,0.0135756150414207,3,"sesonality3",24.2,2.39,"5","0","3"
0.0234381478077973,0.0201069033728345,3,"sesonality3",24.2,2.39,"5","0","3"
0.0110236004320695,0.010723079606008,3,"sesonality3",24.2,2.39,"5","0","3"
0.0212209360088926,0.0210413014847262,3,"sesonality3",24.2,2.39,"5","0","3"
0.0117141793323372,0.0108199412502733,3,"sesonality3",24.2,2.39,"5","0","3"
0.0160093214976225,0.0156549760246292,3,"sesonality3",24.2,2.39,"5","0","3"
0.0159196096526712,0.0147456128454208,3,"sesonality3",24.2,2.39,"5","0","3"
0.0215766144012977,0.0208999860397999,3,"sesonality3",24.2,2.39,"5","0","3"
0.0123089238036966,0.0102511285101086,3,"sesonality3",24.2,2.39,"5","0","3"
0.0171981545586599,0.0165543800541294,3,"sesonality3",24.2,2.39,"5","0","3"
0.0190709805677636,0.0194350891055411,3,"sesonality3",24.2,2.39,"5","0","3"
0.0133992259784885,0.0145069593330874,3,"sesonality3",24.2,2.39,"5","0","3"
0.0160106998137046,0.0158200418952011,3,"sesonality3",24.2,2.39,"5","0","3"
0.0157870704940929,0.0155893955158195,3,"sesonality3",24.2,2.39,"5","0","3"
0.0154311443579993,0.0139323618544951,3,"sesonality3",24.2,2.39,"5","0","3"
0.0152208825029963,0.0167053834738459,3,"sesonality3",24.2,2.39,"5","0","3"
0.0102285677163708,0.0112697195966125,3,"sesonality3",24.2,2.39,"5","0","3"
0.00499390497910471,0.00669579399841683,3,"sesonality3",24.2,2.39,"5","0","3"
0.0110033863291369,0.0107215812260497,3,"sesonality3",24.2,2.39,"5","0","3"
0.0111207599505254,0.0115314616570297,3,"sesonality3",24.2,2.39,"5","0","3"
0.0135328948328984,0.0129635038100469,3,"sesonality3",24.2,2.39,"5","0","3"
0.0102533953666928,0.0103860814431452,3,"sesonality3",24.2,2.39,"5","0","3"
0.0107933944334787,0.010764062437148,3,"sesonality3",24.2,2.39,"5","0","3"
0.0108704947230148,0.0114297255039968,3,"sesonality3",24.2,2.39,"5","0","3"
0.0157628660936324,0.0159035891366775,3,"sesonality3",24.2,2.39,"5","0","3"
0.0127748446895581,0.0134823650351659,3,"sesonality3",24.2,2.39,"5","0","3"
0.00583426281968365,0.00584192670908113,3,"sesonality3",24.2,2.39,"5","0","3"
0.0204662104931482,0.0198770143349285,3,"sesonality3",24.2,2.39,"5","0","3"
0.017712858963102,0.018710528241616,3,"sesonality3",24.2,2.39,"5","0","3"
0.00960195251788989,0.00813538566995018,3,"sesonality3",24.2,2.39,"5","0","3"
0.0127362378845193,0.0129907824664009,3,"sesonality3",24.2,2.39,"5","0","3"
0.0123934801224951,0.0126630966958618,3,"sesonality3",24.2,2.39,"5","0","3"
0.0153816039435643,0.0152974245034893,3,"sesonality3",24.2,2.39,"5","0","3"
0.0129502645771581,0.0133620869098574,3,"sesonality3",24.2,2.39,"5","0","3"
0.0104136449414571,0.0100668148076364,3,"sesonality3",24.2,2.39,"5","0","3"
0.0176027320587854,0.0164621535282496,3,"sesonality3",24.2,2.39,"5","0","3"
0.00339648760514034,0.00443754406857399,3,"sesonality3",24.2,2.39,"5","0","3"
0.0080420681899159,0.006794892505843,3,"sesonality3",24.2,2.39,"5","0","3"
0.00645011889747484,0.00475847938046914,3,"sesonality3",24.2,2.39,"5","0","3"
0.00665898829156293,0.00690618250906119,3,"sesonality3",24.2,2.39,"5","0","3"
0.00698929505468274,0.00509076176699828,3,"sesonality3",24.2,2.39,"5","0","3"
0.0061584476937633,0.00605524321754048,3,"sesonality3",24.2,2.39,"5","0","3"
0.00689902976466659,0.00784480068813765,3,"sesonality3",24.2,2.39,"5","0","3"
0.0113852737804241,0.0110487671124428,3,"sesonality3",24.2,2.39,"5","0","3"
0.0107681712892068,0.00795236339794706,3,"sesonality3",24.2,2.39,"5","0","3"
0.00503714460206994,0.00514378243530926,3,"sesonality3",24.2,2.39,"5","0","3"
0.00676638313737108,0.00666842606476312,3,"sesonality3",24.2,2.39,"5","0","3"
0.00323153128142884,0.00510468507661573,3,"sesonality3",24.2,2.39,"5","0","3"
0.00884809907122456,0.00978805114267053,3,"sesonality3",24.2,2.39,"5","0","3"
0.00657656886593563,0.00460380500695651,3,"sesonality3",24.2,2.39,"5","0","3"
0.00760626187355556,0.00608264901608602,3,"sesonality3",24.2,2.39,"5","0","3"
0.00486977363158895,0.00496474506363346,3,"sesonality3",24.2,2.39,"5","0","3"
0.00666883089205161,0.005361663181123,3,"sesonality3",24.2,2.39,"5","0","3"
0.00736373240922731,0.00633343186877813,3,"sesonality3",24.2,2.39,"5","0","3"
0.00512887297197796,0.00472850104544359,3,"sesonality3",24.2,2.39,"5","0","3"
0.0091692336740959,0.00513911573610114,3,"sesonality3",24.2,2.39,"5","0","3"
0.00603983742566722,0.00553667232988745,3,"sesonality3",24.2,2.39,"5","0","3"
0.00456239975516357,0.00548257603530025,3,"sesonality3",24.2,2.39,"5","0","3"
0.00956817155477821,0.00926788001481338,3,"sesonality3",24.2,2.39,"5","0","3"
0.000627522235735154,0.00497797350470948,3,"sesonality3",24.2,2.39,"5","0","3"
0.00954520891735819,0.0091606877085078,3,"sesonality3",24.2,2.39,"5","0","3"
0.00863120938684092,0.00992249842021599,3,"sesonality3",24.2,2.39,"5","0","3"
0.00814046650346271,0.00470838220019714,3,"sesonality3",24.2,2.39,"5","0","3"
0.0101183123764767,0.00999665002912188,3,"sesonality3",24.2,2.39,"5","0","3"
0.00490512861959471,0.00582888293322865,3,"sesonality3",24.2,2.39,"5","0","3"
0.00620783816938413,0.00441441678077316,3,"sesonality3",24.2,2.39,"5","0","3"
0.0092556336895594,0.0081125567799597,3,"sesonality3",24.2,2.39,"5","0","3"
