"Survey","Host_2","Uncomp_2","MDAs_2"
1202,1560,12,0
1203,1560,11,0
1204,1560,4,0
1205,1560,8,0
1206,1561,12,0
1207,1560,15,0
1208,1560,24,0
1209,1560,16,0
1210,1560,31,0
1211,1560,22,0
1212,1560,45,0
1213,1560,38,0
1214,1560,48,0
1215,1560,49,0
1216,1560,60,0
1217,1561,70,0
1218,1560,58,0
1219,1560,62,0
1220,1560,73,0
1221,1560,72,0
1222,1560,70,0
1223,1561,66,0
1224,1561,73,0
1225,1560,68,0
1226,1560,55,0
1227,1560,76,0
1228,1559,67,0
1229,1559,49,0
1230,1559,68,0
1231,1560,55,0
1232,1559,55,0
1233,1559,59,0
1234,1559,44,0
1235,1560,42,0
1236,1560,36,0
1237,1561,46,0
1238,1561,33,0
1239,1561,34,0
1240,1561,26,0
1241,1560,22,0
1242,1560,25,0
1243,1560,14,0
1244,1560,26,0
1245,1561,19,0
1246,1560,11,0
1247,1561,15,0
1248,1560,16,0
1249,1561,7,0
1250,1561,14,0
1251,1561,6,0
1252,1561,5,0
1253,1561,2,0
1254,1561,5,0
1255,1561,9,0
1256,1561,11,0
1257,1561,4,0
1258,1561,2,0
1259,1561,1,0
1260,1561,6,0
1261,1561,5,0
1262,1561,5,0
1263,1561,2,0
1264,1561,9,0
1265,1561,2,0
1266,1561,2,0
1267,1561,2,0
1268,1561,5,0
1269,1561,2,0
1270,1561,4,0
1271,1561,5,0
1272,1560,10,0
1273,1559,8,0
1274,1559,4,0
1275,1559,6,0
1276,1559,11,0
1277,1559,5,0
1278,1559,8,0
1279,1560,12,0
1280,1559,17,0
1281,1559,20,0
1282,1559,17,0
1283,1559,25,0
1284,1560,33,0
1285,1560,39,0
1286,1560,43,0
1287,1561,49,0
1288,1560,38,0
1289,1560,51,0
1290,1560,62,0
1291,1560,48,0
1292,1560,52,0
1293,1560,69,0
1294,1560,56,0
1295,1560,69,0
1296,1561,73,0
1297,1561,59,0
1298,1561,73,0
1299,1561,58,0
1300,1562,61,0
1301,1562,61,0
1302,1561,65,0
1303,1563,54,0
1304,1564,64,0
1305,1562,47,0
1306,1562,50,0
1307,1562,41,0
1308,1561,55,0
1309,1561,34,0
1310,1562,38,0
1311,1562,30,0
1312,1562,21,0
1313,1561,31,0
1314,1560,16,0
1315,1561,31,0
1316,1560,17,0
1317,1560,16,0
1318,1560,17,0
1319,1560,9,0
1320,1560,14,0
1321,1561,16,0
1322,1560,12,0
1323,1561,9,0
1324,1561,14,0
1325,1560,13,0
1326,1559,4,0
1327,1559,6,0
1328,1559,9,0
1329,1559,10,0
1330,1559,7,0
1331,1559,6,0
1332,1559,3,0
1333,1559,4,0
1334,1559,1,0
1335,1559,5,0
1336,1560,6,0
1337,1561,4,0
1338,1562,4,0
1339,1562,2,0
1340,1563,3,0
1341,1563,4,0
1342,1564,2,0
1343,1564,4,0
1344,1563,4,0
1345,1562,4,0
1346,1561,3,0
1347,1560,4,0
1348,1560,14,0
1349,1560,12,0
1350,1560,11,0
1351,1560,7,0
1352,1560,12,0
1353,1560,14,0
1354,1560,19,0
1355,1560,25,0
1356,1560,25,0
1357,1560,40,0
1358,1560,28,0
1359,1560,42,0
1360,1560,43,0
1361,1561,59,0
1362,1561,57,0
1363,1561,63,0
1364,1561,73,0
1365,1561,60,0
1366,1561,48,0
1367,1561,61,0
1368,1561,71,0
1369,1562,64,0
1370,1561,64,0
1371,1561,77,0
1372,1561,59,0
1373,1562,48,0
1374,1561,71,0
1375,1561,66,0
1376,1561,70,0
1377,1561,57,0
1378,1561,46,0
1379,1561,55,0
1380,1560,41,0
1381,1559,54,0
1382,1559,39,0
1383,1559,36,0
1384,1559,43,0
1385,1559,24,0
1386,1559,22,0
1387,1559,22,0
1388,1559,21,0
1389,1559,22,0
1390,1559,17,0
1391,1559,21,0
1392,1559,23,0
1393,1560,16,0
1394,1560,15,0
1395,1560,9,0
1396,1560,12,0
1397,1561,9,0
1398,1563,10,0
1399,1563,7,0
1400,1562,9,0
1401,1562,5,0
1402,1561,4,0
1403,1561,6,0
1404,1560,7,0
1405,1560,8,0
1406,1560,5,0
1407,1560,2,0
1408,1560,4,0
1409,1561,7,0
1410,1560,3,0
1411,1560,5,0
1412,1560,1,0
1413,1560,5,0
1414,1560,7,0
1415,1560,5,0
1416,1560,8,0
1417,1560,4,0
1418,1560,2,0
1419,1560,4,0
1420,1560,5,0
1421,1560,5,0
1422,1560,7,0
1423,1560,12,0
1424,1560,12,0
