"Coverage","Access","EIR","Indicator","Age","Number_round","Seasonality","Coverage_reduction","Time_0.1","Prevalance","Equity"
"0.95","0.4",95,0.0352317052204998,"10","4","sesonality2","0",21.7376168301427,0.293994164810167,"Poor"
"0.75","0.4",105,0.0264952164901744,"10","4","sesonality2","0",28.9053425413518,0.30313192947885,"Poor"
"0.85","0.4",105,0.0312924903950847,"10","4","sesonality2","0",24.4740287106092,0.30313192947885,"Poor"
"0.95","0.4",105,0.0359164152211484,"10","4","sesonality2","0",21.3232112291878,0.30313192947885,"Poor"
"0.75","0.4",115,0.0270328658014257,"10","4","sesonality2","0",28.3304520497925,NA,"Poor"
"0.85","0.4",115,0.0318181072277652,"10","4","sesonality2","0",24.0697318314228,NA,"Poor"
"0.95","0.4",115,0.0365534481447555,"10","4","sesonality2","0",20.9516023036433,NA,"Poor"
"0.75","0.4",125,0.0274652195238768,"10","4","sesonality2","0",27.8844779554729,NA,"Poor"
"0.85","0.4",125,0.0322877462970279,"10","4","sesonality2","0",23.7196272948373,NA,"Poor"
"0.95","0.4",125,0.0371530639454724,"10","4","sesonality2","0",20.613462983289,NA,"Poor"
"0.75","0.4",135,0.0277106262107184,"10","4","sesonality2","0",27.6375316289148,NA,"Poor"
"0.85","0.4",135,0.0326494226511234,"10","4","sesonality2","0",23.4568713982884,NA,"Poor"
"0.95","0.4",135,0.0376813367296495,"10","4","sesonality2","0",20.3244729307375,NA,"Poor"
"0.75","0.4",145,0.0277925406553806,"10","4","sesonality2","0",27.5560740506642,NA,"Poor"
"0.85","0.4",145,0.0329262981218665,"10","4","sesonality2","0",23.2596238277743,NA,"Poor"
"0.95","0.4",145,0.0381524068298115,"10","4","sesonality2","0",20.0735254206123,NA,"Poor"
"0.75","0.4",155,0.027868204446242,"10","4","sesonality2","0",27.4812577119241,NA,"Poor"
"0.85","0.4",155,0.0332426603097005,"10","4","sesonality2","0",23.03826773251,NA,"Poor"
"0.95","0.4",155,0.0386505017160082,"10","4","sesonality2","0",19.8148348495711,NA,"Poor"
