"Age","Number_round","Coverage_reduction","Coverage","Access","EIR","Seasonality","PE_1","PP"
5,4,0.1,0.9,"0.05","75","sesonality2",0.607193228609528,21
5,4,0.1,0.9,"0.05","100","sesonality2",0.768085203338779,35
5,4,0.1,0.9,"0.05","100","sesonality2",0.595991419648118,21
5,4,0.1,0.9,"0.05","125","sesonality2",0.768971821308353,35
5,4,0.1,0.9,"0.05","125","sesonality2",0.596321730780724,21
5,4,0.1,0.9,"0.05","150","sesonality2",0.763207885840233,35
5,4,0.1,0.9,"0.05","150","sesonality2",0.607271615539899,21
5,4,0.1,0.9,"0.1","10","sesonality2",0.783487357023226,35
5,4,0.1,0.9,"0.1","10","sesonality2",0.628932734520937,21
5,4,0.1,0.9,"0.1","25","sesonality2",0.751914024714932,35
5,4,0.1,0.9,"0.1","25","sesonality2",0.569668276416347,21
5,4,0.1,0.9,"0.1","50","sesonality2",0.747575681251621,35
5,4,0.1,0.9,"0.1","50","sesonality2",0.569590292039626,21
5,4,0.1,0.9,"0.1","75","sesonality2",0.74707191819007,35
5,4,0.1,0.9,"0.1","75","sesonality2",0.575099117538111,21
5,4,0.1,0.9,"0.1","100","sesonality2",0.744577691098682,35
5,4,0.1,0.9,"0.1","100","sesonality2",0.559522172127244,21
5,4,0.1,0.9,"0.1","125","sesonality2",0.726709831374675,35
5,4,0.1,0.9,"0.1","125","sesonality2",0.553802944752501,21
5,4,0.1,0.9,"0.1","150","sesonality2",0.732920390107511,35
5,4,0.1,0.9,"0.1","150","sesonality2",0.545788952913101,21
5,4,0.1,0.9,"0.2","10","sesonality2",0.714488021169197,35
5,4,0.1,0.9,"0.2","10","sesonality2",0.530727651815329,21
5,4,0.1,0.9,"0.2","25","sesonality2",0.717053678693928,35
5,4,0.1,0.9,"0.2","25","sesonality2",0.480352347536804,21
5,4,0.1,0.9,"0.2","50","sesonality2",0.715879561769117,35
5,4,0.1,0.9,"0.2","50","sesonality2",0.517888054905823,21
5,4,0.1,0.9,"0.2","75","sesonality2",0.71275934045801,35
5,4,0.1,0.9,"0.2","75","sesonality2",0.491046996043094,21
