"Survey","EIR","MDA"
590,0.01,0
591,0.01,0
592,0.01,0
593,0.01,0
594,0.01,0
595,0.01,0
596,0.01,0
597,0.01,0
598,0.01,0
599,0.01,0
600,0.01,0
601,0.01,0
602,0.01,0
603,0.01,0
604,0.01,0
605,0.01,0
606,0.01,0
607,0.01,0
608,0.01,0
609,0.01,0
610,0.01,0
611,0.01,0
612,0.01,0
613,0.01,0
614,0.01,0
615,0.01,0
616,0.0212597,0
617,0.042422,0
618,0.070517,0
619,0.107334,0
620,0.154886,0
621,0.217178,0
622,0.299007,0
623,0.40541,0
624,0.543625,0
625,0.721676,0
626,0.94573,0
627,1.21882,0
628,1.53184,0
629,1.85737,0
630,2.17504,0
631,2.47132,0
632,2.72151,0
633,2.8983,0
634,2.993,0
635,3.00311,0
636,2.92851,0
637,2.78042,0
638,2.57867,0
639,2.34241,0
640,2.08623,0
641,1.8241,0
642,1.56939,0
643,1.33291,0
644,1.11804,0
645,0.926453,0
646,0.75924,0
647,0.615684,0
648,0.494392,0
649,0.393655,0
650,0.311154,0
651,0.244136,0
652,0.189914,0
653,0.146266,0
654,0.111388,0
655,0.083664,0
656,0.061581,0
657,0.043944,0
658,0.0299063,0
659,0.0186673,0
660,0.01,0
661,0.01,0
662,0.01,0
663,0.01,0
664,0.01,0
665,0.01,0
666,0.01,0
667,0.01,0
668,0.01,0
669,0.01,0
670,0.01,0
671,0.01,0
672,0.01,0
673,0.01,0
674,0.01,0
675,0.01,0
676,0.01,0
677,0.01,0
678,0.01,0
679,0.01,0
680,0.01,0
681,0.01,0
682,0.01,0
683,0.01,0
684,0.01,0
685,0.01,0
686,0.01,0
687,0.01,0
688,0.01,0
689,0.0192887,0
690,0.0399626,0
691,0.068016,0
692,0.105207,0
693,0.154662,0
694,0.220897,0
695,0.307686,0
696,0.418624,0
697,0.559542,0
698,0.739098,0
699,0.96149,0
700,1.22555,0
701,1.52581,0
702,1.85643,0
703,2.20022,0
704,2.51847,0
705,2.77904,0
706,2.96143,0
707,3.05204,0
708,3.05224,0
709,2.96996,0
710,2.82127,0
711,2.61972,0
712,2.37844,0
713,2.11552,0
714,1.84988,0
715,1.59315,0
716,1.3542,0
717,1.13721,0
718,0.94357,0
719,0.77383,0
720,0.6274,0
721,0.503593,0
722,0.40062,0
723,0.316295,0
724,0.247617,0
725,0.192035,0
726,0.14762,0
727,0.112199,0
728,0.084091,0
729,0.061806,0
730,0.044266,0
731,0.0303769,0
732,0.019235,0
733,0.0102724,0
734,0.01,0
735,0.01,0
736,0.01,0
737,0.01,0
738,0.01,0
739,0.01,0
740,0.01,0
741,0.01,0
742,0.01,0
743,0.01,0
744,0.01,0
745,0.01,0
746,0.01,0
747,0.01,0
748,0.01,0
749,0.01,0
750,0.01,0
751,0.01,0
752,0.01,0
753,0.01,0
754,0.01,0
755,0.01,0
756,0.01,0
757,0.01,0
758,0.01,0
759,0.01,0
760,0.01,0
761,0.01,0
762,0.0216489,0
763,0.043159,0
764,0.070903,0
765,0.107451,0
766,0.155749,0
767,0.218223,0
768,0.299775,0
769,0.406224,0
770,0.545241,0
771,0.728508,0
772,0.96157,0
773,1.24454,0
774,1.56183,0
775,1.8892,0
776,2.21607,0
777,2.52664,0
778,2.78642,0
779,2.9713,0
780,3.06779,0
781,3.07564,0
782,2.99885,0
783,2.84777,0
784,2.63755,0
785,2.38851,0
786,2.12091,0
787,1.85243,0
788,1.59441,0
789,1.35445,0
