"Coverage","Access","EIR","Indicator","Age","Number_round","Seasonality","Coverage_reduction","Time_0.1","Prevalance"
0.75,0.4,35,0.0103366529232899,5,4,"sesonality2",0,74.0910345001708,0.197522821342399
0.85,0.4,35,0.0119132422664975,5,4,"sesonality2",0,64.2858838277387,0.197522821342399
0.95,0.4,35,0.0137822502620758,5,4,"sesonality2",0,55.5680889399562,0.197522821342399
0.75,0.1,45,0.0106133794191147,5,4,"sesonality2",0,72.1592320516182,0.348283340847998
0.85,0.1,45,0.0123562018125668,5,4,"sesonality2",0,61.9812884228596,0.349019674259835
0.95,0.1,45,0.0144340735927655,5,4,"sesonality2",0,53.0587088553863,0.348283340847998
0.75,0.4,45,0.0110206462847671,5,4,"sesonality2",0,69.4925949501111,0.221514478633562
0.85,0.4,45,0.0127821645067721,5,4,"sesonality2",0,59.9157762325787,0.221514478633562
0.95,0.4,45,0.0148584813713204,5,4,"sesonality2",0,51.5431751884147,0.221514478633562
0.75,0.1,55,0.0110516971629765,5,4,"sesonality2",0,69.2973483675791,0.371642089396336
0.85,0.1,55,0.0129171060753621,5,4,"sesonality2",0,59.2898520680683,0.369993459583761
0.95,0.1,55,0.0151454546423986,5,4,"sesonality2",0,50.5665446457984,0.371642089396336
0.75,0.4,55,0.0115122540768842,5,4,"sesonality2",0,66.5250526300963,0.239750691757973
0.85,0.4,55,0.0134366083356328,5,4,"sesonality2",0,56.9975167263591,0.239750691757973
0.95,0.4,55,0.0156957473843077,5,4,"sesonality2",0,48.7936821104454,0.239750691757973
0.75,0.1,65,0.0113817647979126,5,4,"sesonality2",0,67.2877468436372,0.389195095846567
0.85,0.1,65,0.0133598734250467,5,4,"sesonality2",0,57.3248925337845,0.392666824004721
0.95,0.1,65,0.0157124037023887,5,4,"sesonality2",0,48.741957173576,0.389195095846567
0.75,0.4,65,0.0119551305071117,5,4,"sesonality2",0,64.0606397312173,0.259023733939406
0.85,0.4,65,0.0140262739965845,5,4,"sesonality2",0,54.6013366445185,0.259023733939406
0.95,0.4,65,0.0164342710607289,5,4,"sesonality2",0,46.6009904257838,0.259023733939406
0.75,0.1,75,0.0117192387010524,5,4,"sesonality2",0,65.3500903848804,0.404051611972265
0.85,0.1,75,0.0138049897253757,5,4,"sesonality2",0,55.4765576498769,0.403213198580104
0.95,0.1,75,0.0162504159490416,5,4,"sesonality2",0,47.1282280255067,0.404051611972265
0.75,0.4,75,0.0124293223761359,5,4,"sesonality2",0,61.6166581877538,0.269816831458165
0.85,0.4,75,0.0146320631510643,5,4,"sesonality2",0,52.3407601818652,0.269816831458165
0.95,0.4,75,0.0171492309475108,5,4,"sesonality2",0,44.6581721769237,0.269816831458165
0.75,0.1,85,0.0120683006269264,5,4,"sesonality2",0,63.4599130425221,0.41792667401609
0.85,0.1,85,0.0142539112674352,5,4,"sesonality2",0,53.7293444575771,0.416729658717064
0.95,0.1,85,0.0167610079917048,5,4,"sesonality2",0,45.6925567206216,0.41792667401609
0.75,0.4,85,0.0129104825935249,5,4,"sesonality2",0,59.3202696187259,0.280366876622461
0.85,0.4,85,0.0152245725502263,5,4,"sesonality2",0,50.3037642488283,0.280366876622461
0.95,0.4,85,0.0178111080663872,5,4,"sesonality2",0,42.9986335213511,0.280366876622461
0.75,0.1,95,0.0123622445761366,5,4,"sesonality2",0,61.9509914756195,0.428805126172194
0.85,0.1,95,0.0146344128022953,5,4,"sesonality2",0,52.3323565285548,0.427181806665598
0.95,0.1,95,0.0171767759711428,5,4,"sesonality2",0,44.5865574332697,0.428805126172194
0.75,0.4,95,0.0133182166941142,5,4,"sesonality2",0,57.5041933875592,0.293994164810167
0.85,0.4,95,0.015717124584798,5,4,"sesonality2",0,48.7273167699211,0.293994164810167
0.95,0.4,95,0.0183377360148402,5,4,"sesonality2",0,41.7637874018898,0.293994164810167
0.75,0.1,105,0.0125604775285453,5,4,"sesonality2",0,60.9732636848612,0.439110786591553
0.85,0.1,105,0.0149034431138747,5,4,"sesonality2",0,51.3876761567114,0.436953537685843
0.95,0.1,105,0.0174603920137239,5,4,"sesonality2",0,43.8623203736665,0.439110786591553
0.75,0.4,105,0.0136147154120099,5,4,"sesonality2",0,56.2518778527084,0.30313192947885
0.85,0.4,105,0.0160701520541456,5,4,"sesonality2",0,47.6568800205096,0.30313192947885
0.95,0.4,105,0.0186946622082119,5,4,"sesonality2",0,40.9664159654809,0.30313192947885
0.75,0.1,115,0.0126846384425414,5,4,"sesonality2",0,60.3764397247041,NA
0.85,0.1,115,0.0150830008890967,5,4,"sesonality2",0,50.7759241007131,NA
0.95,0.1,115,0.0176368726062604,5,4,"sesonality2",0,43.4234189616994,NA
0.75,0.4,115,0.0138343543638712,5,4,"sesonality2",0,55.3588037585486,NA
0.85,0.4,115,0.0163200603021777,5,4,"sesonality2",0,46.9271126561691,NA
0.95,0.4,115,0.0189206261474115,5,4,"sesonality2",0,40.4771650995566,NA
0.75,0.1,125,0.0127890700137087,5,4,"sesonality2",0,59.8834244815955,NA
0.85,0.1,125,0.0152278573022854,5,4,"sesonality2",0,50.2929133858396,NA
0.95,0.1,125,0.017761397184527,5,4,"sesonality2",0,43.1189787829837,NA
0.75,0.4,125,0.0140469694237638,5,4,"sesonality2",0,54.5208923897948,NA
0.85,0.4,125,0.0165392806926835,5,4,"sesonality2",0,46.3051158382332,NA
