"EIR","IC50_SP","Indicator_40_b"
"100",22.0070280343056,23.25
"150",22.0070280343056,23.75
"5",41.6259898935561,14.5
"50",41.6259898935561,16
"100",41.6259898935561,15.5
"150",41.6259898935561,16.375
"5",52.4427210839872,10.25
"50",52.4427210839872,15
"100",52.4427210839872,15
"150",52.4427210839872,15
"5",50.3244690399545,10.5
"50",50.3244690399545,15
"100",50.3244690399545,15
"150",50.3244690399545,15
"5",81.8867445040771,0.375
"50",81.8867445040771,0.25
"100",81.8867445040771,0
"150",81.8867445040771,0
"5",35.6178035083971,15
"50",35.6178035083971,20
"100",35.6178035083971,20
"150",35.6178035083971,20
"5",88.7989953190098,0
"50",88.7989953190098,0
"100",88.7989953190098,0
"150",88.7989953190098,0
"5",42.1616224517454,14.5
"50",42.1616224517454,15.5
"100",42.1616224517454,15.25
"150",42.1616224517454,16
"5",7.22924815598211,25
"50",7.22924815598211,30
"100",7.22924815598211,30
"150",7.22924815598211,30
"5",75.7365819510643,1
"50",75.7365819510643,3.75
"100",75.7365819510643,2.5
"150",75.7365819510643,3.5
"5",45.8982572095402,12.75
"50",45.8982572095402,15
"100",45.8982572095402,15
"150",45.8982572095402,15
"5",25.6485197059716,19
"50",25.6485197059716,20
"100",25.6485197059716,20.25
"150",25.6485197059716,20
"5",8.23195874775386,24.875
"50",8.23195874775386,30
"100",8.23195874775386,30
"150",8.23195874775386,30
"5",36.301947326326,15
"50",36.301947326326,20
"100",36.301947326326,20
"150",36.301947326326,20
"5",40.7634974183357,15
"50",40.7634974183357,16.5
"100",40.7634974183357,16.875
"150",40.7634974183357,17.25
"5",87.6822885946697,0
"50",87.6822885946697,0
"100",87.6822885946697,0
"150",87.6822885946697,0
"5",32.2067731731569,15.5
"50",32.2067731731569,20
"100",32.2067731731569,20
"150",32.2067731731569,20
"5",51.6472977991322,10
"50",51.6472977991322,15
"100",51.6472977991322,15
"150",51.6472977991322,15
"5",3.23462948735229,30
"50",3.23462948735229,33.125
"100",3.23462948735229,34.75
"150",3.23462948735229,34.75
"5",34.6458284297994,15
"50",34.6458284297994,20
"100",34.6458284297994,20
"150",34.6458284297994,20
"5",46.9443607878447,12.375
"50",46.9443607878447,15
"100",46.9443607878447,15
"150",46.9443607878447,15
"5",94.1954065713611,0
"50",94.1954065713611,0
"100",94.1954065713611,0
"150",94.1954065713611,0
"5",29.4773504482683,17.25
"50",29.4773504482683,20
"100",29.4773504482683,20
"150",29.4773504482683,20
"5",14.2866080390612,20.25
"50",14.2866080390612,25
"100",14.2866080390612,25
"150",14.2866080390612,25
"5",37.8753251882804,15
"50",37.8753251882804,18.75
"100",37.8753251882804,19.25
"150",37.8753251882804,19.75
"5",1.40330420385734,31.5
"50",1.40330420385734,35
"100",1.40330420385734,35
"150",1.40330420385734,35
"5",77.8905804401659,0.5
"50",77.8905804401659,0.5
"100",77.8905804401659,0.625
"150",77.8905804401659,1.25
"5",79.4087615125977,0.375
"50",79.4087615125977,0.5
"100",79.4087615125977,0.25
"150",79.4087615125977,0.5
"5",65.4297232455956,5.625
"50",65.4297232455956,10
"100",65.4297232455956,10
"150",65.4297232455956,10
"5",56.7473918421577,9.75
"50",56.7473918421577,12.875
"100",56.7473918421577,13.25
"150",56.7473918421577,14.375
"5",26.7085340378803,19.5
"50",26.7085340378803,20
"100",26.7085340378803,20
"150",26.7085340378803,20
"5",58.5681392829646,9.5
"50",58.5681392829646,11.25
"100",58.5681392829646,12
"150",58.5681392829646,11.75
"5",72.1402352067388,1.625
"50",72.1402352067388,7
"100",72.1402352067388,8.125
"150",72.1402352067388,8
"5",54.209717342334,10
"50",54.209717342334,15
"100",54.209717342334,15
"150",54.209717342334,15
"5",49.3301766536226,11
"50",49.3301766536226,15
"100",49.3301766536226,15
"150",49.3301766536226,15
"5",60.1204790752184,9.25
"50",60.1204790752184,10
"100",60.1204790752184,10.5
"150",60.1204790752184,10.25
"5",16.4173564162771,20
"50",16.4173564162771,25
"100",16.4173564162771,25
"150",16.4173564162771,25
"5",12.7068819173186,22
"50",12.7068819173186,25
"100",12.7068819173186,25
"150",12.7068819173186,25.25
"5",38.0509732608655,15
"50",38.0509732608655,18.75
"100",38.0509732608655,19.25
"150",38.0509732608655,19.375
"5",59.4684207868236,9.25
"50",59.4684207868236,10.5
