"Survey","nPatent_1","nPatent_2","nPatent_3","nPatent_4"
1545,1148,1931,3492,10082
1546,1115,1800,3328,9698
1547,1030,1748,3211,9269
1548,1009,1679,3087,8980
1549,1003,1666,2990,8491
1550,992,1605,2900,8198
1551,923,1526,2878,8052
1552,906,1493,2784,7778
1553,907,1450,2667,7525
1554,879,1409,2607,7236
1555,851,1328,2548,7152
1556,860,1358,2536,6928
1557,850,1305,2523,6806
1558,840,1301,2519,6789
1559,846,1359,2497,6764
1560,873,1355,2537,6706
1561,871,1387,2561,6893
1562,899,1445,2573,6927
1563,966,1495,2625,7250
1564,998,1549,2779,7445
1565,1063,1654,2897,7702
1566,1155,1810,3033,8146
1567,1242,2001,3243,8483
1568,1317,2168,3445,9003
1569,1431,2304,3642,9599
1570,1552,2442,3825,10217
1571,1631,2521,4083,10955
1572,1714,2692,4382,11593
1573,1862,2758,4645,12545
1574,1926,2815,4933,13506
1575,2033,2937,5174,14518
1576,2109,3039,5413,15815
1577,2141,3154,5706,17090
1578,2167,3296,5878,18763
1579,2259,3405,6078,20579
1580,2362,3464,6258,22433
1581,2371,3523,6369,24387
1582,2517,3524,6492,25966
1583,2548,3530,6576,27593
1584,2508,3528,6566,29029
1585,2527,3539,6526,30125
1586,2580,3519,6481,31096
1587,2560,3519,6517,31709
1588,2530,3534,6467,32520
1589,2482,3484,6429,32658
1590,2472,3492,6379,32954
1591,2488,3440,6405,32981
1592,2494,3430,6262,32589
1593,2465,3416,6248,32267
1594,2443,3348,6185,31749
1595,2423,3329,6166,31033
1596,2389,3263,6043,30373
1597,2395,3205,6027,29461
1598,2320,3170,5854,28245
1599,2263,3102,5842,27323
1600,2253,3085,5671,26085
1601,2213,3078,5585,24903
1602,2119,3066,5459,23726
1603,2096,2999,5303,22258
1604,2071,2956,5276,21088
1605,2048,2899,5062,19921
1606,2014,2792,4965,18919
1607,1983,2733,4832,17794
1608,1861,2702,4729,16770
1609,1781,2556,4640,15865
1610,1723,2515,4485,14981
1611,1649,2477,4317,14273
1612,1613,2358,4260,13563
1613,1544,2246,4064,12843
1614,1458,2192,3915,12200
1615,1418,2101,3778,11608
1616,1309,1999,3666,11015
1617,1287,1970,3569,10648
1618,1209,1861,3425,10089
1619,1184,1801,3318,9605
1620,1118,1779,3199,9130
1621,1048,1692,3122,8890
1622,1027,1649,3008,8405
1623,998,1601,2874,8019
1624,991,1530,2795,7793
1625,962,1480,2730,7664
1626,912,1443,2597,7359
1627,913,1405,2587,7243
1628,889,1423,2477,7029
1629,887,1384,2430,6938
1630,914,1395,2399,6834
1631,869,1338,2465,6754
1632,897,1425,2460,6731
1633,889,1406,2471,6832
1634,901,1453,2486,6895
1635,892,1484,2570,6932
1636,944,1516,2672,7129
1637,1012,1595,2735,7360
1638,1043,1739,2867,7703
1639,1133,1873,3035,8003
1640,1223,2012,3272,8357
1641,1290,2099,3496,8906
1642,1450,2245,3687,9610
1643,1578,2436,3928,10271
1644,1711,2529,4176,10891
1645,1818,2636,4437,11765
1646,1889,2798,4698,12586
1647,1974,2915,4952,13716
1648,2004,3026,5174,14630
1649,2095,3146,5412,15911
1650,2206,3278,5603,17188
1651,2219,3361,5900,18809
1652,2270,3397,6160,20532
1653,2298,3448,6279,22232
1654,2387,3513,6471,24010
1655,2433,3545,6553,25879
1656,2440,3626,6630,27494
1657,2489,3556,6663,28704
1658,2542,3542,6602,30076
1659,2492,3493,6496,31208
1660,2515,3484,6518,31832
1661,2491,3522,6541,32263
1662,2466,3548,6473,32612
1663,2432,3567,6402,32719
1664,2411,3491,6313,32642
1665,2371,3459,6198,32485
1666,2365,3435,6142,32176
1667,2315,3370,6113,31561
1668,2338,3307,6067,30729
1669,2313,3244,6005,30100
1670,2286,3228,5953,29201
1671,2259,3119,5923,28141
1672,2189,3076,5833,27033
1673,2189,3035,5670,25910
1674,2141,3022,5666,24693
1675,2136,2996,5585,23470
1676,2093,2868,5422,22338
1677,2056,2830,5393,20983
1678,2004,2837,5315,19898
1679,1927,2821,5180,18803
1680,1880,2800,5073,17666
1681,1782,2717,4918,16711
1682,1735,2616,4796,15724
1683,1727,2497,4659,14957
1684,1654,2438,4461,14251
1685,1577,2369,4330,13468
1686,1472,2309,4222,12838
1687,1418,2218,4033,12165
1688,1362,2177,3884,11622
1689,1304,2072,3717,11094
1690,1267,1975,3503,10542
1691,1257,1891,3333,9993
1692,1213,1765,3285,9681
1693,1147,1717,3108,9141
1694,1099,1691,2980,8745
1695,1074,1623,2908,8499
1696,1051,1552,2801,8165
1697,1024,1514,2672,7981
1698,977,1466,2621,7680
1699,935,1494,2605,7537
1700,919,1479,2503,7388
1701,899,1441,2482,7260
1702,900,1386,2420,7006
1703,876,1352,2377,6875
1704,888,1350,2386,6778
1705,871,1369,2362,6765
1706,897,1426,2457,6699
1707,923,1440,2406,6827
1708,964,1474,2527,7049
1709,996,1516,2579,7216
1710,1063,1666,2694,7430
1711,1118,1766,2852,7825
1712,1190,1838,3062,8214
1713,1260,1942,3280,8605
1714,1391,2104,3479,9135
1715,1453,2203,3765,9758
1716,1540,2368,4012,10336
1717,1661,2562,4277,11047
1718,1716,2704,4486,11867
1719,1847,2808,4740,12591
1720,1925,2957,4920,13493
1721,2065,3020,5154,14613
1722,2141,3120,5369,15981
1723,2206,3169,5608,17239
1724,2265,3324,5805,18929
1725,2330,3402,6055,20551
1726,2405,3479,6298,22382
1727,2426,3488,6383,24204
1728,2467,3552,6549,26044
1729,2464,3534,6647,27551
1730,2496,3569,6609,28922
1731,2457,3566,6685,30080
1732,2399,3567,6659,31254
1733,2389,3552,6632,31967
1734,2434,3480,6603,32466
1735,2463,3474,6516,32722
1736,2435,3439,6381,32834
1737,2423,3401,6330,32872
1738,2447,3389,6252,32430
1739,2451,3314,6168,32072
1740,2441,3292,6165,31502
1741,2401,3233,6077,30858
1742,2333,3197,5999,30253
1743,2221,3197,5947,29246
1744,2222,3121,5873,28381
1745,2165,3152,5793,27341
1746,2177,3080,5709,26359
1747,2143,3114,5603,25088
1748,2067,3089,5477,23638
1749,2002,3057,5411,22283
1750,1983,2988,5347,21084
1751,1926,2963,5166,19902
1752,1863,2903,5062,18783
1753,1802,2800,4907,17817
1754,1767,2684,4850,16782
1755,1702,2593,4705,15780
1756,1639,2476,4599,15051
1757,1565,2431,4473,14277
1758,1486,2366,4254,13519
1759,1413,2234,4178,12778
1760,1357,2181,4041,12168
1761,1311,2135,3901,11630
1762,1260,2048,3683,11169
1763,1207,1958,3524,10613
1764,1146,1867,3416,10092
1765,1090,1844,3304,9745
1766,1032,1796,3176,9213
1767,992,1698,3062,8896
1768,983,1624,2931,8480
1769,971,1519,2827,8199
1770,945,1494,2734,7893
1771,925,1484,2668,7626
1772,920,1462,2631,7409
1773,904,1437,2662,7202
1774,894,1375,2532,7194
1775,844,1391,2510,6878
1776,821,1409,2439,6893
1777,811,1403,2443,6829
1778,813,1373,2456,6873
1779,842,1367,2496,6952
1780,830,1467,2490,6902
1781,861,1527,2561,7034
1782,910,1622,2616,7190
1783,975,1664,2730,7297
1784,1030,1745,2862,7662
1785,1134,1858,3033,8146
1786,1218,1999,3263,8627
1787,1327,2106,3397,9139
1788,1457,2252,3731,9708
1789,1533,2426,3995,10271
1790,1656,2582,4180,11055
1791,1748,2743,4403,11844
1792,1806,2890,4626,12634
1793,1920,2983,4851,13627
1794,1965,3082,5090,14611
1795,2044,3197,5354,15881
1796,2151,3238,5592,17332
1797,2278,3338,5811,18944
1798,2354,3372,6051,20552
1799,2332,3468,6256,22313
1800,2337,3464,6411,24017
1801,2400,3576,6641,25854
1802,2429,3556,6739,27494
1803,2454,3585,6721,28985
1804,2368,3592,6718,30310
1805,2373,3593,6741,31397
1806,2392,3571,6658,32102
1807,2417,3497,6613,32632
1808,2430,3429,6457,32898
1809,2369,3386,6382,32871
1810,2342,3409,6324,32751
1811,2394,3351,6314,32531
1812,2377,3312,6322,32118
1813,2333,3284,6152,31682
1814,2319,3265,6084,31023
1815,2251,3246,6024,30365
1816,2259,3187,5935,29468
1817,2213,3164,5933,28277
1818,2171,3075,5832,27415
1819,2160,3041,5731,26135
1820,2098,3032,5581,24879
1821,2084,2947,5502,23496
1822,2015,2935,5318,22363
1823,1949,2927,5225,21144
1824,1908,2861,5112,19925
1825,1881,2767,5005,18807
1826,1828,2731,4917,17614
1827,1750,2727,4799,16723
1828,1728,2705,4694,16047
1829,1676,2612,4623,15017
1830,1566,2551,4443,14328
1831,1493,2407,4342,13505
1832,1480,2297,4182,12835
1833,1359,2216,4054,12280
1834,1293,2170,3869,11667
1835,1263,2023,3717,11123
1836,1229,1983,3559,10482
1837,1207,1853,3457,10070
1838,1139,1763,3308,9669
1839,1089,1738,3222,9202
1840,1023,1669,3120,8914
1841,1016,1600,3040,8593
1842,976,1566,2963,8192
1843,966,1516,2856,7977
1844,929,1495,2762,7835
1845,875,1471,2653,7508
1846,848,1451,2539,7393
1847,853,1415,2518,7162
1848,878,1403,2491,7042
1849,865,1384,2462,6810
1850,837,1357,2435,6755
1851,834,1391,2463,6829
1852,834,1391,2480,6861
1853,869,1428,2522,6943
1854,914,1493,2632,7162
1855,964,1551,2690,7302
1856,1039,1629,2833,7480
1857,1109,1726,2934,7763
1858,1191,1856,3134,8042
1859,1243,1976,3304,8544
1860,1323,2120,3537,9132
1861,1441,2260,3803,9655
1862,1548,2333,4062,10331
1863,1659,2495,4196,11079
1864,1720,2666,4457,11800
1865,1789,2821,4675,12704
1866,1957,2906,4872,13667
1867,2075,3040,5108,14821
1868,2110,3106,5389,15948
1869,2159,3179,5670,17521
1870,2182,3219,5838,19017
1871,2276,3260,6089,20573
1872,2325,3388,6254,22215
1873,2403,3475,6369,23901
1874,2419,3562,6478,25736
1875,2488,3537,6634,27419
1876,2484,3587,6665,28736
1877,2492,3611,6693,29996
1878,2485,3579,6676,31271
1879,2513,3534,6607,32123
1880,2461,3457,6581,32716
1881,2465,3416,6513,33032
1882,2454,3409,6483,33238
1883,2426,3393,6424,33090
1884,2430,3357,6348,32712
1885,2418,3349,6203,32274
1886,2399,3364,6153,31748
1887,2374,3338,6132,31213
1888,2305,3299,6074,30327
1889,2255,3273,5950,29545
1890,2237,3174,5871,28436
1891,2195,3117,5763,27338
1892,2120,3061,5671,26317
1893,2090,3058,5616,24973
1894,2105,3045,5455,23825
1895,2086,2961,5394,22403
1896,2010,2931,5285,21321
1897,1951,2874,5248,20115
1898,1893,2779,5148,18945
1899,1794,2735,4965,17877
1900,1771,2723,4836,16841
1901,1712,2669,4762,15773
1902,1667,2566,4607,14877
1903,1609,2479,4474,14277
1904,1553,2404,4364,13415
1905,1510,2341,4141,12752
1906,1422,2201,4037,12151
1907,1344,2103,3900,11617
1908,1290,1987,3792,11074
1909,1231,1924,3533,10661
1910,1221,1836,3384,10129
1911,1183,1755,3285,9674
1912,1165,1716,3197,9304
1913,1135,1670,3058,8861
1914,1035,1595,2931,8587
1915,921,1504,2802,8263
1916,898,1467,2729,7929
1917,887,1451,2655,7723
1918,883,1420,2631,7517
1919,857,1372,2591,7312
1920,842,1377,2534,7223
1921,819,1385,2528,7012
1922,819,1394,2478,6986
1923,799,1423,2441,6788
1924,804,1435,2478,6845
1925,830,1445,2449,6731
1926,879,1480,2511,6841
1927,928,1500,2528,6964
1928,953,1569,2611,7055
1929,969,1649,2764,7397
1930,1035,1730,2891,7669
1931,1143,1819,3076,8115
1932,1220,1998,3276,8364
1933,1349,2149,3508,9031
1934,1412,2221,3764,9529
1935,1539,2397,4012,10131
1936,1683,2521,4279,10827
1937,1805,2652,4520,11617
1938,1861,2786,4753,12605
1939,1892,2889,4990,13437
1940,1952,3046,5228,14594
1941,2032,3110,5428,15898
1942,2106,3221,5663,17244
1943,2189,3289,5895,18786
1944,2255,3425,6060,20503
1945,2317,3540,6249,22263
1946,2343,3610,6418,24024
1947,2401,3655,6493,25831
1948,2379,3665,6632,27358
1949,2401,3695,6582,29015
1950,2428,3632,6585,30146
1951,2422,3591,6554,31160
1952,2520,3538,6543,32007
1953,2500,3461,6531,32464
1954,2515,3415,6355,32879
1955,2536,3372,6293,32781
1956,2476,3329,6263,32634
1957,2482,3334,6191,32575
1958,2445,3319,6179,32216
1959,2405,3318,6162,31736
1960,2388,3269,6156,31076
1961,2375,3283,6101,30363
1962,2341,3171,5971,29344
1963,2370,3136,5854,28309
1964,2294,3160,5758,27217
1965,2247,3041,5647,26002
1966,2199,3037,5648,24787
1967,2145,2975,5544,23451
1968,2116,2966,5479,22452
1969,2092,2923,5338,21146
1970,2013,2844,5321,19837
1971,1932,2776,5103,18817
1972,1936,2727,5035,17729
1973,1854,2636,4839,16640
1974,1761,2555,4716,15754
1975,1694,2492,4614,14898
1976,1629,2410,4547,14216
1977,1545,2302,4404,13428
1978,1562,2244,4230,12739
1979,1485,2173,4035,12215
1980,1407,2100,3919,11440
1981,1357,2032,3732,10978
1982,1294,1904,3560,10478
1983,1251,1818,3489,10015
1984,1162,1780,3305,9613
1985,1115,1741,3116,9196
1986,1070,1705,3027,8854
1987,1040,1648,2894,8520
1988,989,1622,2884,8233
1989,950,1542,2732,7924
1990,945,1552,2702,7612
1991,941,1435,2648,7489
1992,928,1431,2575,7225
1993,914,1424,2541,7080
1994,856,1402,2534,7131
1995,834,1357,2470,6915
1996,831,1375,2451,6766
1997,842,1430,2470,6684
1998,843,1389,2506,6705
1999,869,1441,2572,6811
2000,888,1489,2627,6947
2001,958,1552,2659,7023
2002,1026,1644,2793,7303
2003,1148,1694,2953,7616
2004,1194,1870,3123,8069
2005,1329,1968,3294,8538
2006,1364,2095,3522,9116
2007,1460,2222,3733,9597
2008,1590,2348,3998,10283
2009,1719,2534,4241,11045
2010,1885,2624,4499,11850
2011,1901,2715,4790,12626
2012,1979,2802,4959,13693
2013,2021,2971,5165,14679
2014,2117,3021,5414,15984
2015,2184,3139,5669,17358
2016,2230,3207,5856,18982
2017,2290,3342,6054,20512
2018,2343,3427,6233,22432
2019,2318,3549,6457,24365
2020,2356,3645,6578,26161
2021,2435,3654,6683,27780
2022,2469,3572,6660,29406
2023,2474,3562,6723,30418
2024,2496,3527,6616,31247
2025,2483,3499,6596,31860
2026,2463,3436,6475,32529
2027,2493,3469,6377,32665
2028,2527,3415,6366,32949
2029,2487,3406,6265,32649
2030,2462,3375,6223,32665
2031,2363,3384,6200,32251
2032,2332,3316,6174,31862
2033,2310,3292,6137,31089
2034,2316,3266,6125,30498
2035,2310,3211,6010,29541
2036,2262,3242,5905,28560
2037,2231,3140,5765,27455
2038,2155,3095,5721,26060
2039,2100,3054,5645,24827
2040,2077,2922,5604,23755
2041,2091,2857,5491,22420
2042,2047,2902,5300,20992
2043,1984,2784,5223,19845
2044,1932,2704,5034,18728
2045,1888,2640,4866,17727
2046,1824,2535,4752,16966
2047,1746,2524,4629,15849
2048,1676,2492,4521,15205
2049,1601,2432,4301,14191
2050,1488,2367,4243,13396
2051,1439,2291,4127,12605
2052,1394,2205,4013,12172
2053,1354,2122,3848,11525
2054,1259,2062,3727,11097
2055,1205,1939,3588,10513
2056,1175,1886,3434,10143
2057,1114,1809,3268,9577
2058,1087,1695,3076,9329
2059,1055,1634,2993,8906
2060,1023,1537,2864,8621
2061,999,1526,2859,8221
2062,966,1480,2801,7931
2063,936,1486,2706,7741
2064,911,1417,2602,7554
2065,888,1361,2615,7322
2066,870,1346,2539,7046
2067,850,1355,2463,6912
2068,846,1333,2472,6812
2069,848,1363,2430,6694
2070,840,1329,2421,6737
2071,880,1335,2463,6771
2072,899,1359,2487,6771
2073,937,1396,2551,6831
2074,969,1503,2596,7133
2075,1039,1606,2724,7294
2076,1123,1690,2850,7767
2077,1195,1795,3081,8132
2078,1292,1935,3299,8637
2079,1375,2139,3565,9117
2080,1438,2225,3779,9547
2081,1544,2358,4042,10161
2082,1642,2493,4217,10875
2083,1749,2590,4473,11693
2084,1819,2745,4664,12580
2085,1945,2894,4875,13530
2086,2002,2997,5084,14509
2087,2090,3072,5308,15719
2088,2183,3213,5555,17057
2089,2263,3351,5844,18634
2090,2299,3471,6084,20352
2091,2339,3573,6253,22047
2092,2349,3629,6443,23989
2093,2385,3588,6544,25691
2094,2394,3553,6665,27411
2095,2407,3483,6690,28812
2096,2462,3488,6672,30111
2097,2490,3448,6714,31068
2098,2508,3453,6628,31983
2099,2485,3387,6537,32588
2100,2460,3374,6415,32733
2101,2444,3362,6437,32873
2102,2459,3337,6361,32920
2103,2468,3402,6270,32603
2104,2385,3405,6163,32235
2105,2349,3376,6099,31773
2106,2336,3336,6105,30967
2107,2312,3302,6017,30263
2108,2299,3256,6032,29405
2109,2285,3178,5929,28279
2110,2277,3105,5815,27112
2111,2243,3060,5711,25791
2112,2224,3042,5628,24681
2113,2120,2941,5620,23358
2114,2096,2949,5450,22143
2115,2007,2915,5346,21149
2116,1959,2827,5246,19785
2117,1932,2712,5091,18855
2118,1843,2710,4966,17801
2119,1806,2640,4833,16812
2120,1765,2609,4683,15795
2121,1664,2531,4622,15090
2122,1565,2463,4415,14107
2123,1492,2327,4302,13361
2124,1454,2255,4127,12868
2125,1423,2191,4032,12083
2126,1350,2085,3877,11391
2127,1293,2028,3730,10899
2128,1233,1953,3586,10423
2129,1158,1846,3480,10093
2130,1073,1791,3373,9654
2131,1058,1725,3216,9197
2132,1042,1667,3163,8889
2133,1001,1625,3015,8623
2134,1025,1584,2920,8349
2135,986,1555,2811,8073
2136,955,1523,2752,7718
2137,912,1456,2685,7571
2138,876,1428,2571,7324
2139,845,1338,2532,7221
2140,850,1364,2494,6947
2141,838,1361,2470,6927
2142,825,1358,2405,6793
2143,840,1345,2428,6781
2144,861,1367,2453,6772
2145,864,1420,2578,6864
2146,901,1481,2612,6988
2147,943,1553,2714,7229
2148,967,1559,2843,7532
2149,998,1684,2946,7855
2150,1119,1825,3152,8260
2151,1255,1951,3331,8625
2152,1356,2090,3508,9219
2153,1457,2205,3688,9678
2154,1597,2379,3923,10274
2155,1695,2537,4191,10968
2156,1806,2697,4434,11751
2157,1932,2845,4694,12544
2158,1988,2968,4951,13600
2159,2030,3058,5220,14716
2160,2054,3061,5439,15985
2161,2048,3150,5725,17410
2162,2128,3292,5890,19091
2163,2260,3390,6144,20712
2164,2365,3422,6352,22389
2165,2351,3473,6582,24235
2166,2375,3519,6665,25886
2167,2390,3512,6728,27562
2168,2390,3566,6689,28859
2169,2484,3560,6686,30240
2170,2453,3554,6667,31244
2171,2439,3473,6610,31848
2172,2463,3490,6489,32402
2173,2484,3401,6429,32844
2174,2447,3431,6304,32965
2175,2420,3409,6299,32832
2176,2416,3386,6170,32546
2177,2447,3419,6183,32307
2178,2395,3361,6196,31798
2179,2417,3292,6127,31253
2180,2334,3222,6128,30370
2181,2272,3258,6047,29461
2182,2235,3285,6060,28303
2183,2217,3234,5897,27098
2184,2165,3140,5770,26095
2185,2116,3109,5747,24746
2186,2117,3046,5659,23329
2187,2045,2934,5487,22193
2188,2027,2887,5334,20978
2189,2017,2856,5221,19715
2190,1962,2860,5058,18526
2191,1855,2771,4934,17715
2192,1795,2650,4832,16665
2193,1696,2513,4693,15838
2194,1625,2472,4551,15020
2195,1603,2380,4410,14272
2196,1552,2293,4316,13609
2197,1490,2221,4116,12952
2198,1428,2167,4001,12254
2199,1376,2108,3792,11677
2200,1307,2006,3659,11109
2201,1281,1897,3519,10598
2202,1226,1881,3477,10126
2203,1178,1816,3293,9754
2204,1143,1713,3185,9394
2205,1098,1721,3006,9020
2206,1035,1727,3025,8658
2207,1021,1653,2948,8320
2208,968,1564,2857,7850
2209,965,1533,2748,7740
2210,928,1535,2683,7569
2211,933,1456,2569,7254
2212,965,1418,2566,7083
2213,884,1371,2525,7005
2214,865,1341,2475,6867
2215,848,1339,2473,6869
2216,823,1309,2490,6942
2217,834,1338,2542,6865
2218,865,1401,2508,6888
2219,850,1469,2613,7096
2220,961,1514,2695,7233
2221,1035,1610,2805,7519
2222,1088,1706,2950,7778
2223,1164,1820,3167,8254
2224,1241,1927,3295,8543
2225,1303,2120,3517,9097
2226,1426,2246,3778,9691
2227,1487,2343,4006,10375
2228,1605,2466,4248,11082
2229,1784,2658,4524,11721
2230,1901,2779,4653,12616
2231,1984,2938,5017,13493
2232,2005,3037,5274,14714
2233,2071,3113,5408,16009
2234,703,510,5626,17494
2235,530,151,5819,18994
2236,594,149,5951,20604
2237,771,283,6077,22469
2238,1184,1011,6278,24316
2239,1662,1918,6422,26065
2240,881,430,6407,27623
2241,690,171,6428,28961
2242,730,170,6455,30192
2243,945,366,6491,31051
2244,1495,1377,6409,31629
2245,2022,2603,6416,32063
2246,1062,613,6127,32217
2247,788,165,6049,31997
2248,841,142,5961,31975
2249,1018,317,5861,31485
2250,1423,1078,5791,31020
2251,1830,2019,5853,30395
2252,1107,447,5691,29797
2253,885,139,5627,28850
2254,892,130,5486,28071
2255,977,230,5340,27153
2256,1227,802,5364,26237
2257,1498,1487,5337,24969
2258,1710,2025,5313,23580
2259,1892,2520,5294,22419
2260,2002,2908,5290,21200
2261,2035,3042,5267,19941
2262,1897,2949,5136,18780
2263,1754,2774,4949,17858
2264,1612,2564,4839,16897
2265,1503,2376,4744,15949
2266,1478,2236,4550,14994
2267,1424,2146,4416,14198
2268,1357,1997,4292,13513
2269,1288,1951,4144,12870
2270,1303,1904,3986,12326
2271,1228,1895,3854,11895
2272,1171,1868,3725,11324
2273,1133,1816,3559,10863
2274,1068,1796,3431,10437
2275,1014,1714,3310,10125
2276,992,1603,3163,9578
2277,941,1554,3075,9147
2278,904,1515,2983,8813
2279,890,1483,2865,8580
2280,881,1429,2730,8205
2281,845,1389,2665,7815
2282,816,1329,2603,7566
2283,820,1279,2557,7433
2284,789,1293,2521,7128
2285,761,1279,2429,6926
2286,765,1240,2385,6884
2287,796,1260,2415,6728
2288,798,1249,2364,6712
2289,801,1283,2360,6628
2290,825,1306,2404,6751
2291,850,1350,2462,6787
2292,900,1415,2525,6979
2293,933,1466,2641,7119
2294,1008,1573,2770,7377
2295,1068,1589,2884,7631
2296,1198,1737,2996,8079
2297,1259,1850,3198,8390
2298,1325,1994,3431,9093
2299,1410,2154,3693,9685
2300,1514,2260,3962,10289
2301,1602,2366,4238,11000
2302,1743,2484,4481,11719
2303,1818,2638,4730,12652
2304,1883,2736,4953,13688
2305,1954,2916,5201,14805
2306,2060,2971,5434,15920
2307,730,578,5617,17328
2308,523,132,5782,19005
2309,575,137,5937,20623
2310,779,321,6113,22441
2311,1304,1131,6241,24288
2312,1879,2164,6384,26012
2313,963,516,6408,27625
2314,720,152,6405,29219
2315,733,159,6397,30444
2316,964,377,6369,31367
2317,1579,1479,6317,32023
2318,2070,2781,6363,32498
2319,1116,622,6099,32411
2320,810,152,5935,32435
2321,811,150,5818,32130
2322,961,329,5706,31773
2323,1441,1270,5751,31227
2324,1927,2173,5783,30567
2325,1095,549,5656,29902
2326,835,132,5570,28964
2327,865,128,5540,28013
2328,959,262,5471,27187
2329,1273,926,5411,26296
2330,1575,1617,5399,25079
2331,1741,2080,5360,24017
2332,1917,2547,5331,22584
2333,2089,2930,5312,21583
2334,2044,3051,5266,20256
2335,1884,2928,5151,19088
2336,1749,2679,5038,18199
2337,1654,2457,4895,17203
2338,1532,2298,4710,16061
2339,1444,2143,4554,15378
2340,1423,1988,4394,14428
2341,1385,1903,4219,13749
2342,1326,1831,4176,13036
2343,1271,1858,4005,12240
2344,1222,1809,3856,11769
2345,1163,1777,3753,11285
2346,1145,1683,3623,10693
2347,1112,1654,3556,10318
2348,1042,1623,3370,9864
2349,1018,1560,3266,9589
2350,965,1503,3142,9228
2351,915,1501,2997,8856
2352,905,1445,2890,8562
2353,854,1370,2823,8157
2354,830,1333,2798,7926
2355,809,1276,2651,7594
2356,800,1223,2641,7331
2357,798,1219,2535,7196
2358,780,1233,2529,7027
2359,777,1260,2465,6971
2360,769,1267,2384,6792
2361,814,1256,2451,6787
2362,809,1268,2463,6677
2363,840,1301,2517,6787
2364,833,1308,2563,6886
2365,858,1393,2622,7026
2366,914,1447,2734,7228
2367,974,1525,2836,7565
2368,1048,1611,2961,7911
2369,1130,1701,3150,8246
2370,1207,1825,3364,8741
2371,1344,1975,3582,9244
2372,1452,2161,3792,9622
2373,1578,2273,4025,10420
2374,1686,2408,4237,11228
2375,1752,2504,4547,11935
2376,1874,2637,4729,12912
2377,1941,2697,5016,13941
2378,2008,2842,5109,15071
2379,2030,3023,5349,16112
2380,702,630,5478,17448
2381,481,153,5670,19086
2382,529,156,5877,20800
2383,746,378,5977,22668
2384,1270,1309,6197,24486
2385,1854,2384,6391,26377
2386,917,612,6389,27962
2387,685,167,6334,29329
2388,725,172,6279,30674
2389,959,452,6218,31653
2390,1597,1716,6250,32130
2391,2155,3017,6239,32615
2392,1070,770,5981,32537
2393,781,182,5838,32308
2394,809,148,5794,32185
2395,1019,361,5737,31765
2396,1471,1443,5747,31305
2397,1908,2440,5838,30673
2398,1129,644,5602,29923
2399,871,140,5519,29182
2400,893,142,5413,28172
2401,949,284,5321,27029
2402,1267,1041,5311,26118
2403,1636,1800,5238,25121
2404,1853,2276,5177,23962
2405,1956,2647,5145,22767
2406,2046,3044,5133,21466
2407,2070,3095,5101,20284
2408,1923,2906,4961,19043
2409,1794,2643,4892,17930
2410,1653,2351,4755,16946
2411,1562,2157,4647,16092
2412,1504,2005,4495,15370
2413,1442,1927,4298,14535
2414,1412,1853,4170,13788
2415,1428,1799,4054,13202
2416,1395,1780,3933,12579
2417,1324,1776,3841,12037
2418,1299,1766,3750,11512
2419,1206,1707,3646,10874
2420,1183,1654,3437,10424
2421,1126,1598,3323,10111
2422,1068,1555,3250,9625
2423,1035,1510,3158,9243
2424,975,1498,3011,8924
2425,948,1432,2863,8614
2426,954,1362,2760,8252
2427,925,1293,2690,8019
2428,934,1316,2614,7623
2429,912,1293,2561,7384
2430,871,1303,2546,7232
2431,874,1248,2524,7105
2432,869,1262,2446,6888
2433,879,1243,2464,6934
2434,866,1266,2484,6903
2435,887,1276,2494,6983
2436,877,1294,2507,7018
2437,907,1355,2540,7070
2438,946,1380,2614,7200
2439,956,1465,2652,7304
2440,978,1519,2697,7637
2441,1059,1619,2858,7976
2442,1164,1716,3031,8310
2443,1244,1866,3201,8750
2444,1386,2055,3417,9351
2445,1463,2186,3672,9857
2446,1563,2258,3951,10551
2447,1627,2401,4200,11289
2448,1765,2537,4475,12005
2449,1847,2662,4716,12960
2450,1930,2713,4878,13943
2451,2043,2793,5073,14904
2452,2094,2889,5200,16214
2453,702,554,5400,17742
2454,504,109,5584,19232
2455,532,132,5818,21148
2456,755,363,5981,22980
2457,1371,1333,6075,24784
2458,1995,2420,6265,26585
2459,966,576,6224,28433
2460,725,137,6206,29960
2461,742,170,6232,31025
2462,999,479,6182,31741
2463,1688,1928,6210,32365
2464,2248,3302,6273,32653
2465,1113,828,5966,32532
2466,773,169,5817,32425
2467,812,157,5720,32292
2468,1004,380,5630,31927
2469,1553,1488,5641,31224
2470,2009,2565,5696,30775
2471,1134,650,5484,30053
2472,884,112,5436,29214
2473,887,111,5306,28436
2474,987,281,5236,27455
2475,1368,1073,5142,26599
2476,1640,1855,5159,25417
2477,1810,2309,5173,24113
2478,1976,2678,5144,22828
2479,2053,2975,5111,21718
2480,1989,3073,5047,20485
2481,1879,2893,4959,19297
2482,1765,2631,4830,18354
2483,1686,2395,4707,17169
2484,1627,2191,4510,16265
2485,1551,2042,4405,15406
2486,1505,1910,4329,14624
2487,1435,1858,4106,13895
2488,1391,1814,3962,13130
2489,1357,1802,3818,12605
2490,1264,1770,3678,12065
2491,1280,1749,3586,11426
2492,1177,1749,3434,10993
2493,1152,1674,3392,10514
2494,1118,1598,3281,10046
2495,1046,1548,3217,9837
2496,1046,1496,3087,9407
