"Survey","nPatent_1","nPatent_2","nPatent_3","nPatent_4"
1194,820,1339,2464,6772
1195,857,1363,2491,6797
1196,875,1410,2545,6813
1197,871,1498,2585,6847
1198,944,1535,2674,7106
1199,989,1649,2748,7336
1200,1058,1735,2868,7613
1201,1165,1830,3005,8090
1202,1244,1883,3189,8548
1203,1345,1999,3385,9029
1204,1469,2198,3652,9691
1205,1529,2365,3877,10376
1206,1640,2503,4114,10936
1207,1690,2646,4419,11595
1208,1828,2750,4696,12478
1209,1873,2870,4931,13505
1210,1968,2970,5216,14680
1211,2044,3087,5433,15849
1212,2163,3204,5635,17048
1213,2237,3246,5832,18538
1214,2261,3357,6051,20167
1215,2309,3355,6250,21905
1216,2417,3427,6353,23902
1217,2460,3449,6483,25676
1218,2478,3547,6599,27364
1219,2470,3616,6668,28973
1220,2484,3560,6667,30113
1221,2464,3485,6643,31021
1222,2470,3508,6628,31712
1223,2464,3507,6544,32351
1224,2465,3492,6509,32666
1225,2453,3452,6408,32856
1226,2445,3408,6341,32701
1227,2463,3385,6269,32404
1228,2451,3308,6137,31992
1229,2393,3290,6081,31397
1230,2325,3250,6017,30697
1231,2345,3275,5948,29918
1232,2271,3200,5852,29205
1233,2221,3170,5774,28113
1234,2175,3088,5737,27011
1235,2156,3058,5623,25963
1236,2086,3043,5528,24608
1237,2040,2993,5424,23699
1238,1966,2914,5390,22125
1239,1940,2841,5327,20992
1240,1967,2864,5271,19917
1241,1907,2784,5069,18864
1242,1841,2753,4964,17679
1243,1783,2667,4909,16817
1244,1700,2603,4737,16014
1245,1669,2464,4550,15012
1246,1628,2444,4495,14186
1247,1532,2355,4286,13487
1248,1462,2238,4100,12823
1249,1392,2173,4007,12097
1250,1316,2104,3841,11447
1251,1256,1999,3727,10966
1252,1219,1914,3591,10377
1253,1194,1821,3479,9941
1254,1152,1802,3357,9461
1255,1092,1690,3199,9084
1256,1033,1674,3141,8672
1257,1040,1603,2992,8445
1258,998,1558,2923,8152
1259,982,1507,2849,7806
1260,950,1478,2702,7660
1261,949,1451,2678,7374
1262,936,1410,2614,7324
1263,901,1395,2560,7137
1264,864,1378,2462,7046
1265,835,1332,2443,6889
1266,842,1324,2384,6889
1267,832,1326,2366,6802
1268,848,1337,2380,6831
1269,883,1379,2443,6869
1270,927,1418,2528,6883
1271,992,1513,2585,7173
1272,1068,1573,2686,7513
1273,1125,1666,2876,7851
1274,1204,1798,3089,8027
1275,1293,1972,3238,8595
1276,1369,2122,3446,9130
1277,1429,2238,3704,9721
